URL,ejecucion,tiempo
WWW.google.com,1, 0.161
WWW.google.com,2, 1984.438
WWW.google.com,3, 7.457
WWW.google.com,4, 7.314
WWW.google.com,5,
WWW.google.com,6, 14.820
WWW.google.com,7,
WWW.google.com,8, 17.866
WWW.google.com,9, 16.994
WWW.google.com,10, 16.691
WWW.google.com,11, 16.282
www.upv.es,1, 0.161
www.upv.es,2, 14.533
www.upv.es,3, 7.644
www.upv.es,4, 7.592
www.upv.es,5,
www.upv.es,6, 16.825
www.upv.es,7, 24.156
www.upv.es,8,
www.upv.es,9,
www.upv.es,10,
www.upv.es,11,
www.upv.es,12,
www.upv.es,13,
www.upv.es,14,
www.upv.es,15,
www.upv.es,16,
www.upv.es,17,
www.upv.es,18,
www.upv.es,19,
www.upv.es,20,
www.upv.es,21,
www.upv.es,22,
www.upv.es,23,
www.upv.es,24,
www.upv.es,25,
www.upv.es,26,
www.upv.es,27,
www.upv.es,28,
www.upv.es,29,
www.upv.es,30,
www.oracle.com,1, 0.165
www.oracle.com,2, 16.076
www.oracle.com,3, 11.161
www.oracle.com,4, 10.670
www.oracle.com,5,
www.oracle.com,6, 120.435
www.oracle.com,7,
www.oracle.com,8,
www.oracle.com,9,
www.oracle.com,10,
www.oracle.com,11,
www.oracle.com,12,
www.oracle.com,13,
www.oracle.com,14,
www.oracle.com,15,
www.oracle.com,16,
www.oracle.com,17,
www.oracle.com,18,
www.oracle.com,19,
www.oracle.com,20,
www.oracle.com,21,
www.oracle.com,22,
www.oracle.com,23,
www.oracle.com,24,
www.oracle.com,25,
www.oracle.com,26,
www.oracle.com,27,
www.oracle.com,28,
www.oracle.com,29,
www.oracle.com,30,
www.elpais.es,1, 0.157
www.elpais.es,2, 15.530
www.elpais.es,3, 8.560
www.elpais.es,4, 8.430
www.elpais.es,5,
www.elpais.es,6, 14.002
www.elpais.es,7, 13.854
www.elpais.es,8, 13.566
www.elpais.es,9,
www.elpais.es,10,
www.elpais.es,11,
www.elpais.es,12,
www.elpais.es,13,
www.elpais.es,14,
www.elpais.es,15,
www.elpais.es,16,
www.elpais.es,17,
www.elpais.es,18,
www.elpais.es,19,
www.elpais.es,20,
www.elpais.es,21,
www.elpais.es,22,
www.elpais.es,23,
www.elpais.es,24,
www.elpais.es,25,
www.elpais.es,26,
www.elpais.es,27,
www.elpais.es,28,
www.elpais.es,29,
www.elpais.es,30,
